Year,Quarter,Type_of_application,Institution_type_group,Institution_type, Applications 
2010,2010 Q1,Visa,Higher Education institution,Non Russell Group Universities,741
2010,2010 Q1,Visa,Higher Education institution,Russell Group Universities,364
2010,2010 Q1,Visa,All other institutions,English language school,2632
2010,2010 Q1,Visa,All other institutions,Independent school,325
2010,2010 Q1,Visa,All other institutions,Other,388
2010,2010 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges",2645
2010,2010 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,450
2010,2010 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,211
2010,2010 Q1,Extensions of stay,All other institutions,English language school,345
2010,2010 Q1,Extensions of stay,All other institutions,Independent school,55
2010,2010 Q1,Extensions of stay,All other institutions,Other,38
2010,2010 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",677
2010,2010 Q2,Visa,Higher Education institution,Non Russell Group Universities,8751
2010,2010 Q2,Visa,Higher Education institution,Russell Group Universities,4735
2010,2010 Q2,Visa,All other institutions,English language school,4879
2010,2010 Q2,Visa,All other institutions,Independent school,2132
2010,2010 Q2,Visa,All other institutions,Other,1818
2010,2010 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges",11042
2010,2010 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,3951
2010,2010 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,1122
2010,2010 Q2,Extensions of stay,All other institutions,English language school,2032
2010,2010 Q2,Extensions of stay,All other institutions,Independent school,315
2010,2010 Q2,Extensions of stay,All other institutions,Other,622
2010,2010 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",7909
2010,2010 Q3,Visa,Higher Education institution,Non Russell Group Universities,67467
2010,2010 Q3,Visa,Higher Education institution,Russell Group Universities,45776
2010,2010 Q3,Visa,All other institutions,English language school,6427
2010,2010 Q3,Visa,All other institutions,Independent school,9456
2010,2010 Q3,Visa,All other institutions,Other,2988
2010,2010 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges",28307
2010,2010 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,6641
2010,2010 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,2142
2010,2010 Q3,Extensions of stay,All other institutions,English language school,1994
2010,2010 Q3,Extensions of stay,All other institutions,Independent school,537
2010,2010 Q3,Extensions of stay,All other institutions,Other,737
2010,2010 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",9733
2010,2010 Q4,Visa,Higher Education institution,Non Russell Group Universities,11698
2010,2010 Q4,Visa,Higher Education institution,Russell Group Universities,3645
2010,2010 Q4,Visa,All other institutions,English language school,5315
2010,2010 Q4,Visa,All other institutions,Independent school,2566
2010,2010 Q4,Visa,All other institutions,Other,1672
2010,2010 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges",23398
2010,2010 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,19141
2010,2010 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,9629
2010,2010 Q4,Extensions of stay,All other institutions,English language school,1953
2010,2010 Q4,Extensions of stay,All other institutions,Independent school,947
2010,2010 Q4,Extensions of stay,All other institutions,Other,821
2010,2010 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",12228
2011,2011 Q1,Visa,Higher Education institution,Non Russell Group Universities,10312
2011,2011 Q1,Visa,Higher Education institution,Russell Group Universities,2295
2011,2011 Q1,Visa,All other institutions,English language school,5749
2011,2011 Q1,Visa,All other institutions,Independent school,2474
2011,2011 Q1,Visa,All other institutions,Other,2127
2011,2011 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges",35969
2011,2011 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,10148
2011,2011 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,3563
2011,2011 Q1,Extensions of stay,All other institutions,English language school,2288
2011,2011 Q1,Extensions of stay,All other institutions,Independent school,580
2011,2011 Q1,Extensions of stay,All other institutions,Other,1262
2011,2011 Q1,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",17257
2011,2011 Q2,Visa,Higher Education institution,Non Russell Group Universities,12850
2011,2011 Q2,Visa,Higher Education institution,Russell Group Universities,7166
2011,2011 Q2,Visa,All other institutions,English language school,3077
2011,2011 Q2,Visa,All other institutions,Independent school,2902
2011,2011 Q2,Visa,All other institutions,Other,1894
2011,2011 Q2,Visa,All other institutions,"Tertiary, Further education or other colleges",25889
2011,2011 Q2,Extensions of stay,Higher Education institution,Non Russell Group Universities,3819
2011,2011 Q2,Extensions of stay,Higher Education institution,Russell Group Universities,1066
2011,2011 Q2,Extensions of stay,All other institutions,English language school,1307
2011,2011 Q2,Extensions of stay,All other institutions,Independent school,375
2011,2011 Q2,Extensions of stay,All other institutions,Other,860
2011,2011 Q2,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",10337
2011,2011 Q3,Visa,Higher Education institution,Non Russell Group Universities,60932
2011,2011 Q3,Visa,Higher Education institution,Russell Group Universities,45736
2011,2011 Q3,Visa,All other institutions,English language school,1803
2011,2011 Q3,Visa,All other institutions,Independent school,9002
2011,2011 Q3,Visa,All other institutions,Other,1758
2011,2011 Q3,Visa,All other institutions,"Tertiary, Further education or other colleges",15115
2011,2011 Q3,Extensions of stay,Higher Education institution,Non Russell Group Universities,5525
2011,2011 Q3,Extensions of stay,Higher Education institution,Russell Group Universities,2077
2011,2011 Q3,Extensions of stay,All other institutions,English language school,720
2011,2011 Q3,Extensions of stay,All other institutions,Independent school,449
2011,2011 Q3,Extensions of stay,All other institutions,Other,393
2011,2011 Q3,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",7888
2011,2011 Q4,Visa,Higher Education institution,Non Russell Group Universities,10212
2011,2011 Q4,Visa,Higher Education institution,Russell Group Universities,3033
2011,2011 Q4,Visa,All other institutions,English language school,847
2011,2011 Q4,Visa,All other institutions,Independent school,1791
2011,2011 Q4,Visa,All other institutions,Other,731
2011,2011 Q4,Visa,All other institutions,"Tertiary, Further education or other colleges",7020
2011,2011 Q4,Extensions of stay,Higher Education institution,Non Russell Group Universities,19182
2011,2011 Q4,Extensions of stay,Higher Education institution,Russell Group Universities,10551
2011,2011 Q4,Extensions of stay,All other institutions,English language school,605
2011,2011 Q4,Extensions of stay,All other institutions,Independent school,751
2011,2011 Q4,Extensions of stay,All other institutions,Other,483
2011,2011 Q4,Extensions of stay,All other institutions,"Tertiary, Further education or other colleges",5784
2012,2012 Q1,Visa,Higher Education institution,Non Russell Group Universities,8373
2012,2012 Q1,Visa,Higher Education institution,Russell Group Universities,1888
2012,2012 Q1,Visa,All other institutions,English language school,743
2012,2012 Q1,Visa,All other institutions,Independent school,1142
2012,2012 Q1,Visa,All other institutions,Other,500
2012,2012 Q1,Visa,All other institutions,"Tertiary, Further education or other colleges",6684
2012,2012 Q1,Extensions of stay,Higher Education institution,Non Russell Group Universities,8562
2012,2012 Q1,Extensions of stay,Higher Education institution,Russell Group Universities,3384
2012,2012 Q1,Extensions of stay,All other institutions,English language school,650
2012,2012 Q1,Extensions of stay,All other institutions,Independent school,592
2012,2012 Q1,Extensions of stay,All other institutions,Other,526
