Year,Quarter,Type of application,Institution type group,Geographical region,Nationality, Applications 
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Albania,1
2010,2010 Q1,Visa,Higher Education institution,Africa North,Algeria,1
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Angola,2
2010,2010 Q1,Visa,Higher Education institution,Oceania,Australia,4
2010,2010 Q1,Visa,Higher Education institution,Middle East,Bahrain,3
2010,2010 Q1,Visa,Higher Education institution,Asia South,Bhutan,1
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Bosnia and Herzegovina,1
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Botswana,1
2010,2010 Q1,Visa,Higher Education institution,America Central and South,Brazil,6
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Brunei,5
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Cameroon,2
2010,2010 Q1,Visa,Higher Education institution,America North,Canada,9
2010,2010 Q1,Visa,Higher Education institution,America Central and South,Chile,1
2010,2010 Q1,Visa,Higher Education institution,Asia East,China,181
2010,2010 Q1,Visa,Higher Education institution,America Central and South,Colombia,3
2010,2010 Q1,Visa,Higher Education institution,EU Other,Croatia,1
2010,2010 Q1,Visa,Higher Education institution,Africa North,Egypt,3
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Georgia,2
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Ghana,2
2010,2010 Q1,Visa,Higher Education institution,Asia East,Hong Kong,4
2010,2010 Q1,Visa,Higher Education institution,Asia South,India,218
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Indonesia,9
2010,2010 Q1,Visa,Higher Education institution,Middle East,Iran,11
2010,2010 Q1,Visa,Higher Education institution,Middle East,Iraq,5
2010,2010 Q1,Visa,Higher Education institution,Middle East,Israel,1
2010,2010 Q1,Visa,Higher Education institution,America Central and South,Jamaica,1
2010,2010 Q1,Visa,Higher Education institution,Asia East,Japan,88
2010,2010 Q1,Visa,Higher Education institution,Middle East,Jordan,6
2010,2010 Q1,Visa,Higher Education institution,Asia Central,Kazakhstan,6
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Kenya,4
2010,2010 Q1,Visa,Higher Education institution,Middle East,Kuwait,18
2010,2010 Q1,Visa,Higher Education institution,Middle East,Lebanon,2
2010,2010 Q1,Visa,Higher Education institution,Africa North,Libya,33
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Malawi,1
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Malaysia,35
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Mauritius,1
2010,2010 Q1,Visa,Higher Education institution,America Central and South,Mexico,5
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Moldova,1
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Montenegro,2
2010,2010 Q1,Visa,Higher Education institution,Africa North,Morocco,4
2010,2010 Q1,Visa,Higher Education institution,Oceania,New Zealand,2
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Nigeria,14
2010,2010 Q1,Visa,Higher Education institution,Europe Other,North Macedonia,2
2010,2010 Q1,Visa,Higher Education institution,Middle East,Oman,9
2010,2010 Q1,Visa,Higher Education institution,Other,Other and unknown,1
2010,2010 Q1,Visa,Higher Education institution,Asia South,Pakistan,21
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Philippines,8
2010,2010 Q1,Visa,Higher Education institution,Middle East,Qatar,1
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Russia,10
2010,2010 Q1,Visa,Higher Education institution,Middle East,Saudi Arabia,167
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Senegal,2
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Serbia,1
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Singapore,4
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,South Africa,1
2010,2010 Q1,Visa,Higher Education institution,Asia East,South Korea,23
2010,2010 Q1,Visa,Higher Education institution,Asia South,Sri Lanka,7
2010,2010 Q1,Visa,Higher Education institution,Africa North,Sudan,1
2010,2010 Q1,Visa,Higher Education institution,Middle East,Syria,1
2010,2010 Q1,Visa,Higher Education institution,Asia East,Taiwan,41
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Tanzania,2
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Thailand,27
2010,2010 Q1,Visa,Higher Education institution,America Central and South,Trinidad and Tobago,1
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Turkey,23
2010,2010 Q1,Visa,Higher Education institution,Asia Central,Turkmenistan,3
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Uganda,1
2010,2010 Q1,Visa,Higher Education institution,Europe Other,Ukraine,1
2010,2010 Q1,Visa,Higher Education institution,Middle East,United Arab Emirates,12
2010,2010 Q1,Visa,Higher Education institution,America North,United States,21
2010,2010 Q1,Visa,Higher Education institution,Asia South East,Vietnam,11
2010,2010 Q1,Visa,Higher Education institution,Middle East,Yemen,1
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Zambia,1
2010,2010 Q1,Visa,Higher Education institution,Africa Sub-Saharan,Zimbabwe,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Albania,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa North,Algeria,2
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Angola,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Oceania,Australia,4
2010,2010 Q1,Extensions of stay,Higher Education institution,Europe Other,Azerbaijan,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South,Bangladesh,11
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Barbados,1
2010,2010 Q1,Extensions of stay,Higher Education institution,America Central and South,Brazil,1
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia South East,Brunei,3
2010,2010 Q1,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Cameroon,4
2010,2010 Q1,Extensions of stay,Higher Education institution,America North,Canada,8
2010,2010 Q1,Extensions of stay,Higher Education institution,Asia East,China,118
