Year,Quarter,Type_of_application,Category_of_leave,Geographical_region,Nationality,Applications
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia Central,Afghanistan,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Albania,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa North,Algeria,5
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Andorra,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Angola,6
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Argentina,18
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Armenia,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Oceania,Australia,405
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Azerbaijan,17
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Bahrain,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South,Bangladesh,41
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Barbados,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Belarus,7
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Benin,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Bosnia and Herzegovina,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Botswana,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Brazil,56
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Brunei,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Burkina,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Burma,6
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Cambodia,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Cameroon,5
2010,2010 Q1,Visa,Worker (Previously Tier 2),America North,Canada,219
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Chile,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,China,300
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Colombia,20
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Congo (Democratic Republic),1
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Costa Rica,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),EU Other,Croatia,8
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Cuba,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Cyprus (Northern part of),1
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Ecuador,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa North,Egypt,68
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,El Salvador,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Eritrea,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Ethiopia,6
2010,2010 Q1,Visa,Worker (Previously Tier 2),Oceania,Fiji,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Gabon,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,"Gambia, The",1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Europe Other,Georgia,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Ghana,23
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Guatemala,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Guinea,1
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Guyana,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Honduras,2
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,Hong Kong,23
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South,India,5787
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia South East,Indonesia,22
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Iran,26
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Iraq,3
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Israel,18
2010,2010 Q1,Visa,Worker (Previously Tier 2),America Central and South,Jamaica,10
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,Japan,399
2010,2010 Q1,Visa,Worker (Previously Tier 2),Middle East,Jordan,10
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia Central,Kazakhstan,16
2010,2010 Q1,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Kenya,11
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,Korea (North),1
2010,2010 Q1,Visa,Worker (Previously Tier 2),Asia East,Korea (South),103
